FILE_GROUP_TITLE	CONTENT_TYPE	ITEM_ARK	FILE_USE	SEQ	FILE_SIZE	CREATE_DATE	FILE_LOCATION	FILE_NAME
Text Transcript	Text	21198/zz0008z90j	Master	4	761402	2010-03-17 11:01:15	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z90j-4-master.html	21198-zz0008z90j-4-master.html
PDF	PDF	21198/zz0008z90j	Submaster	5	823002	2015-11-13 12:07:01	database	21198-zz0008z90j-5-submaster.pdf
PDF	PDF	21198/zz0008z90j	Master	5	823002	2015-11-13 12:07:01	https://static.library.ucla.edu/oralhistory/pdf/masters/21198-zz0008z90j-5-master.pdf	21198-zz0008z90j-5-master.pdf
PDF	PDF	21198/zz0008z912	Master	1	118773433	2013-06-21 14:28:03	https://static.library.ucla.edu/oralhistory/pdf/masters/21198-zz0008z912-1-master.pdf	21198-zz0008z912-1-master.pdf
PDF	PDF	21198/zz0008z912	Submaster	1	118773433	2013-06-21 14:28:03	database	21198-zz0008z912-1-submaster.pdf
Text Interview History	Text	21198/zz0008z92k	Submaster	2	4453	2010-04-28 09:50:37	database	21198-zz0008z92k-2-submaster.xml
Text Interview History	Text	21198/zz0008z92k	Master	2	4453	2010-04-28 09:50:37	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z92k-2-master.xml	21198-zz0008z92k-2-master.xml
Text Transcript	Text	21198/zz0008z92k	Master	3	515189	2010-04-28 09:50:48	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z92k-3-master.xml	21198-zz0008z92k-3-master.xml
Text Transcript	Text	21198/zz0008z92k	Submaster	3	515189	2010-04-28 09:50:48	database	21198-zz0008z92k-3-submaster.xml
Text Transcript	Text	21198/zz0008z92k	Submaster	4	658772	2010-04-28 09:51:00	database	21198-zz0008z92k-4-submaster.html
Text Transcript	Text	21198/zz0008z92k	Master	4	658772	2010-04-28 09:51:00	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z92k-4-master.html	21198-zz0008z92k-4-master.html
PDF	PDF	21198/zz0008z92k	Master	5	768517	2015-11-13 10:50:21	https://static.library.ucla.edu/oralhistory/pdf/masters/21198-zz0008z92k-5-master.pdf	21198-zz0008z92k-5-master.pdf
PDF	PDF	21198/zz0008z92k	Submaster	5	768517	2015-11-13 10:50:21	database	21198-zz0008z92k-5-submaster.pdf
Text Biography	Text	21198/zz0008z933	Submaster	1	5662	2010-06-09 09:40:27	database	21198-zz0008z933-1-submaster.xml
Text Biography	Text	21198/zz0008z933	Master	1	5662	2010-06-09 09:40:27	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z933-1-master.xml	21198-zz0008z933-1-master.xml
Text Interview History	Text	21198/zz0008z933	Master	2	3266	2010-06-09 09:40:37	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z933-2-master.xml	21198-zz0008z933-2-master.xml
