ARK	TYPE	VALUE	SOURCE
21198/zz0008zqh3	typeOfResource	text	MODS
21198/zz0008zqq6	typeOfResource	text	MODS
21198/zz0008zr8z	typeOfResource	text	MODS
21198/zz0008zs7x	typeOfResource	text	MODS
21198/zz0008zswr	typeOfResource	text	MODS
21198/zz0008z8jb	typeOfResource	text	MODS
21198/zz0008zxs4	typeOfResource	text	MODS
21198/zz0008ztnm	typeOfResource	text	MODS
21198/zz0008ztqn	typeOfResource	text	MODS
21198/zz0008ztt6	typeOfResource	text	MODS
21198/zz0008z9sf	typeOfResource	text	MODS
21198/zz0008zhxd	typeOfResource	text	MODS
21198/zz0008zqzt	typeOfResource	text	MODS
21198/zz0008z7f9	typeOfResource	text	MODS
21198/zz000900nw	typeOfResource	text	MODS
21198/zz0008zgp9	typeOfResource	text	MODS
21198/zz0008zgxx	typeOfResource	text	MODS
21198/zz0008zj1f	typeOfResource	text	MODS
21198/zz0008zj40	typeOfResource	text	MODS
21198/zz0008zkgn	typeOfResource	text	MODS
21198/zz0008zmck	typeOfResource	text	MODS
21198/zz0008zmqr	typeOfResource	text	MODS
21198/zz0008zpsr	typeOfResource	text	MODS
21198/zz0008zr6x	typeOfResource	text	MODS
21198/zz0008zrj3	typeOfResource	text	MODS
21198/zz0008zrr6	typeOfResource	text	MODS
21198/zz0008zs8f	typeOfResource	text	MODS
21198/zz0008zspn	typeOfResource	text	MODS
21198/zz0008zx5t	typeOfResource	text	MODS
21198/zz0008zz59	typeOfResource	text	MODS
21198/zz00090264	typeOfResource	text	MODS
21198/zz000902nv	typeOfResource	text	MODS
21198/zz0009034k	typeOfResource	text	MODS
21198/zz000903c6	typeOfResource	text	MODS
21198/zz0009041h	typeOfResource	text	MODS
21198/zz00090484	typeOfResource	text	MODS
21198/zz000904fq	typeOfResource	text	MODS
21198/zz000901f8	typeOfResource	text	MODS
21198/zz0008zxcx	typeOfResource	text	MODS
21198/zz0008zxbd	typeOfResource	text	MODS
21198/zz0008zz0q	typeOfResource	text	MODS
21198/zz000901c7	typeOfResource	text	MODS
21198/zz0008zp7g	typeOfResource	text	MODS
21198/zz0008zn70	typeOfResource	text	MODS
21198/zz0008z7rz	typeOfResource	text	MODS
21198/zz0008z8tg	typeOfResource	text	MODS
21198/zz0008z7hb	typeOfResource	text	MODS
21198/zz0008zctx	typeOfResource	text	MODS
21198/zz0008zb43	typeOfResource	text	MODS
21198/zz0008zb5m	typeOfResource	text	MODS
21198/zz0008zc4k	typeOfResource	text	MODS
21198/zz0008z7t0	typeOfResource	text	MODS
21198/zz0008zd3j	typeOfResource	text	MODS
21198/zz0015wg8b	typeOfResource	text	MODS
21198/zz0015vqzm	typeOfResource	text	MODS
21198/zz0015wbgh	typeOfResource	text	MODS
21198/zz0015z6wp	typeOfResource	text	MODS
21198/zz0015wdq3	typeOfResource	text	MODS
21198/zz0015wd1r	typeOfResource	text	MODS
21198/zz0015wm7r	typeOfResource	text	MODS
21198/zz0008zzsm	typeOfResource	text	MODS
21198/zz000900mc	typeOfResource	text	MODS
21198/zz0009010j	typeOfResource	text	MODS
21198/zz00090112	typeOfResource	text	MODS
21198/zz0009d4h4	typeOfResource	text	MODS
21198/zz0009dbh1	typeOfResource	text	MODS
21198/zz0008zb64	typeOfResource	text	MODS
21198/zz0008zrd1	typeOfResource	text	MODS
21198/zz00095wfk	typeOfResource	sound recording-nonmusical	MODS
21198/zz00095wm5	typeOfResource	sound recording-nonmusical	MODS
21198/zz002k456f	typeOfResource	sound recording-nonmusical	MODS
21198/zz002gw185	typeOfResource	Audio	COHR
21198/zz002b0sws	typeOfResource	Audio	COHR
21198/zz0025mnmq	typeOfResource	Audio	COHR
21198/zz0015t9hn	typeOfResource	Audio	COHR
21198/zz0009d4jn	typeOfResource	Audio	COHR
21198/zz0009fs84	typeOfResource	Audio	COHR
21198/zz002hgcg4	typeOfResource	Audio	COHR
21198/zz002b0sx9	typeOfResource	Audio	COHR
21198/zz002hj3zd	typeOfResource	Audio	COHR
21198/zz002bwvb4	typeOfResource	Audio	COHR
21198/zz002938zh	typeOfResource	Audio	COHR
21198/zz002bfs5r	typeOfResource	Audio	COHR
21198/zz002bfs68	typeOfResource	Audio	COHR
21198/zz0028vg3x	typeOfResource	Audio	COHR
21198/zz002kps06	typeOfResource	Audio	COHR
21198/zz002kpn8d	typeOfResource	Audio	COHR
21198/zz002kpqs4	typeOfResource	Audio	COHR
21198/zz002kpk7x	typeOfResource	Audio	COHR
21198/zz002k6t50	typeOfResource	Audio	COHR
21198/zz002kps9v	typeOfResource	Audio	COHR
21198/zz002kq054	typeOfResource	Audio	COHR
21198/zz002kpb61	typeOfResource	Audio	COHR
21198/zz002kpjm4	typeOfResource	Audio	COHR
21198/zz002hgrzp	typeOfResource	Audio	COHR
21198/zz002kp6qv	typeOfResource	Audio	COHR
21198/zz002kptsk	typeOfResource	Audio	COHR
21198/zz002kpzpz	typeOfResource	Audio	COHR
21198/zz002kpzxk	typeOfResource	Audio	COHR
21198/zz002k7pkq	typeOfResource	Audio	COHR
21198/zz002kpbkq	typeOfResource	Audio	COHR
21198/zz002kpjxs	typeOfResource	Audio	COHR
21198/zz002kpzjw	typeOfResource	Audio	COHR
21198/zz002kcnv5	typeOfResource	Audio	COHR
21198/zz0028td62	typeOfResource	Audio	COHR
21198/zz002kps69	typeOfResource	Audio	COHR
21198/zz002kdk9c	typeOfResource	Audio	COHR
21198/zz00096qss	typeOfResource	Audio	COHR
21198/zz001400n6	typeOfResource	Audio	COHR
21198/zz001d0kck	typeOfResource	Audio	COHR
21198/zz002j75v6	typeOfResource	Audio	COHR
21198/zz0027dkqf	typeOfResource	Audio	COHR
21198/zz001d0v5b	typeOfResource	Audio	COHR
21198/zz000966vk	typeOfResource	Audio	COHR
21198/zz002khdxm	typeOfResource	Audio	COHR
21198/zz002kmp6z	typeOfResource	Audio	COHR
21198/zz002knpq5	typeOfResource	Audio	COHR
21198/zz002knrwq	typeOfResource	Audio	COHR
21198/zz002knwhz	typeOfResource	Audio	COHR
21198/zz002kp03n	typeOfResource	Audio	COHR
21198/zz002knt8c	typeOfResource	Audio	COHR
21198/zz002knmws	typeOfResource	Audio	COHR
21198/zz002kp1ds	typeOfResource	Audio	COHR
21198/zz002kp2ht	typeOfResource	Audio	COHR
21198/zz002kp4g8	typeOfResource	Audio	COHR
21198/zz002kp1c8	typeOfResource	Audio	COHR
21198/zz00096t7z	typeOfResource	Audio	COHR
21198/zz002hgcfm	typeOfResource	Audio	COHR
21198/zz002c4hm0	typeOfResource	Audio	COHR
21198/zz0008zpqq	typeOfResource	Audio	COHR
21198/zz0027dkpx	typeOfResource	Audio	COHR
21198/zz002knnsq	typeOfResource	Audio	COHR
21198/zz002knvqk	typeOfResource	Audio	COHR
21198/zz002knr9x	typeOfResource	Audio	COHR
21198/zz002knp7x	typeOfResource	Audio	COHR
21198/zz00096ncm	typeOfResource	Audio	COHR
21198/zz002knrmk	typeOfResource	Audio	COHR
21198/zz002d3jkx	typeOfResource	Audio	COHR
21198/zz002kmp4x	typeOfResource	Audio	COHR
21198/zz002knbsc	typeOfResource	Audio	COHR
21198/zz0028vf4z	typeOfResource	Audio	COHR
21198/zz0025n7d8	typeOfResource	Audio	COHR
21198/zz0008zgzf	typeOfResource	Audio	COHR
21198/zz001d0tmk	typeOfResource	Audio	COHR
21198/zz00293f1z	typeOfResource	Audio	COHR
21198/zz002cfqbs	typeOfResource	Audio	COHR
21198/zz0028tdcn	typeOfResource	Audio	COHR
21198/zz002kc0qx	typeOfResource	Audio	COHR
21198/zz002jkbgd	typeOfResource	Audio	COHR
21198/zz002kc3js	typeOfResource	Audio	COHR
21198/zz002kcp17	typeOfResource	Audio	COHR
21198/zz002kd8h4	typeOfResource	Audio	COHR
21198/zz002knxbv	typeOfResource	Audio	COHR
21198/zz001d0qd1	typeOfResource	Audio	COHR
21198/zz001nf2f3	typeOfResource	Audio	COHR
21198/zz001nf2jn	typeOfResource	Audio	COHR
21198/zz00096sd2	typeOfResource	Audio	COHR
21198/zz002c2fkm	typeOfResource	Audio	COHR
21198/zz002hwdj1	typeOfResource	Audio	COHR
21198/zz002k7gsx	typeOfResource	Audio	COHR
21198/zz002k31tc	typeOfResource	Audio	COHR
21198/zz002k7q4g	typeOfResource	Audio	COHR
21198/zz002b93cd	typeOfResource	Audio	COHR
21198/zz002hzgqg	typeOfResource	Audio	COHR
21198/zz002hzgnf	typeOfResource	Audio	COHR
21198/zz002cft9q	typeOfResource	Audio	COHR
21198/zz002kc9xc	typeOfResource	Audio	COHR
21198/zz002kd0tx	typeOfResource	Audio	COHR
21198/zz0025n7x1	typeOfResource	Audio	COHR
21198/zz002kcx1m	typeOfResource	Audio	COHR
21198/zz002kcd3d	typeOfResource	Audio	COHR
21198/zz001d0qch	typeOfResource	Audio	COHR
21198/zz00096t8g	typeOfResource	Audio	COHR
21198/zz002hjqpz	typeOfResource	Audio	COHR
21198/zz00292rws	typeOfResource	Audio	COHR
21198/zz002kdzx0	genre	Audio	COHR
21198/zz000905zz	genre	oral histories (document genres)	AAT
21198/zz002jxz7z	typeOfResource	moving image	MODS
21198/zz002jz28c	typeOfResource	moving image	MODS
21198/zz002jz25t	typeOfResource	moving image	MODS
21198/zz002k7j42	typeOfResource	moving image	MODS
21198/zz002k7pcm	typeOfResource	moving image	MODS
21198/zz002k7k6k	typeOfResource	moving image	MODS
21198/zz002k7k73	typeOfResource	moving image	MODS
